target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,Corporate,60243,0,1,,,25.10830152,0.8869900442,,,5.0263343065,455
0,2NDFL,advanced,,30501,0,0,0,14.593996416,33.359278389,12.948319485,0,0,10.364757841,457
0,OTHER,elementary,,100000,0,0,,,36.01369863,1.3552511416,,,11.652054795,458
0,OTHER,elementary,Corporate,99644,0,1,0,,28.760835392,0.6324200913,,,7.7945205479,460
0,OTHER,advanced,Corporate,19960,0,1,0,,54.60894528,1.4610000749,,,6.4527808968,470
0,2NDFL,elementary,,43761,0,0,0,0.7270609319,26.389767198,1.4610000749,0,0,6.0363425406,472
0,OTHER,high,Corporate,39126,0,1,0,4.9887544803,38.941118347,10.009611498,0,0,11.540983607,474
0,2NDFL,advanced,,55301,0,0,0,,52.079234973,6.3736432368,0,0,6.9188487162,480
0,OTHER,advanced,,35000,0,0,0,,51.37380792,15.81147541,0,0,6.2368216184,481
0,OTHER,elementary,,20000,0,0,1,1.2475582437,35.56284153,2.3989969309,0,0,2.7715996706,491
0,OTHER,elementary,,100000,0,0,0,0.9568324373,32.841821993,4.9020959653,1,1,11.288397335,496
0,OTHER,elementary,,34800,0,0,0,0.8605062724,30.804678494,0.7635826035,0,0,10.053993562,497
0,OTHER,elementary,Corporate,39932,0,1,0,4.4444444444,26.693150685,3.2273972603,0,0,1.8931506849,501
0,OTHER,elementary,Corporate,42184,0,1,0,0.863015233,27.023856576,2.2074182199,0,0,6.8430346583,514
0,2NDFL,elementary,,274379,0,1,1,7.3128360215,38.356164384,0.3559473014,1,1,7.0383561644,515
0,OTHER,elementary,Corporate,90927,0,1,0,0.9924731183,35.077438431,0.5573770492,0,0,11.036342541,520
0,2NDFL,elementary,,82209,0,0,1,-0.750403226,45.335077476,3.298630137,2,2,0.2657534247,522
0,OTHER,elementary,Corporate,30375,0,0,,,32.972250917,2.8575342466,,,11.117808219,525
0,OTHER,elementary,Corporate,21982,0,1,0,4.6659722222,43.219267909,0.6721311475,0,0,3.7343364024,537
0,OTHER,elementary,,110000,0,0,2,0.2778001792,33.980821918,2.8301369863,0,0,5.2328767123,540
0,OTHER,elementary,VIP,190090,0,1,2,0.8859543011,32.081967213,2.2833969609,0,0,11.017643536,545
0,2NDFL,elementary,,20950,0,0,0,5.5660170251,26.656733288,0.3772812336,0,0,6.4813908227,547
0,OTHER,beginner,Corporate,94128,0,1,0,2.1183691756,36.97311176,3.8739726027,1,1,13.668493151,548
0,OTHER,elementary,Corporate,65911,0,1,1,0.7609767025,36.978808294,2.0692192529,1,1,9.4473014447,549
0,OTHER,elementary,Corporate,42037,0,1,0,1.0573252688,30.682281608,0.2950819672,0,0,3.0439254435,551
0,OTHER,advanced,Corporate,14568,0,1,,,27.611048731,0.2950819672,,,4.4617486339,552
0,OTHER,advanced,Corporate,47557,0,1,,,52.532786885,0.5765027322,,,7.4031289767,554
0,2NDFL,advanced,,14740,0,0,,,47.967123288,0.4354143274,,,2.9424657534,559
0,OTHER,advanced,Corporate,35082,0,1,0,19.956025986,25.872812336,0.4700726102,0,0,5.7084287746,561
0,OTHER,advanced,Corporate,28178,0,1,,,25.587880829,0.8015794595,,,5.5358260349,564
0,OTHER,beginner,,293500,0,0,1,1.5377240143,41.556890486,3.2390822666,0,0,11.36784939,568
0,OTHER,elementary,Corporate,100170,0,1,1,0.8283378136,31.909836066,3.6994535519,0,0,7.9808743169,573
0,OTHER,elementary,,35000,0,0,1,0.8882616487,40.197260274,8.6101354892,0,0,10.438356164,581
0,OTHER,beginner,,150000,0,0,1,0.8543458781,36.323287671,4.7744965941,0,0,11.61369863,586
0,OTHER,elementary,Corporate,75433,0,1,1,0.4773521505,28.06557377,0.5,0,0,1.2450407965,593
0,OTHER,advanced,Corporate,44190,0,1,0,6.6045922939,30.539486489,9.4216782693,0,0,10.183322105,597
0,OTHER,elementary,Corporate,89354,0,1,,,42.717808219,2.3342465753,,,5.6849315068,598
0,2NDFL,elementary,,129765,0,0,0,16.638799283,28.505464481,9.3293285426,0,0,5.1156299124,602
0,OTHER,advanced,Corporate,33724,0,1,1,0.9193324373,46.471232877,4.8116400928,,,0.9701100382,604
0,OTHER,advanced,,82000,0,0,1,0.7552419355,47.564383562,3.498630137,1,1,2.5479452055,613
0,2NDFL,elementary,,109921,0,0,0,17.800179211,33.809259675,0.3415300546,0,0,10.705150086,620
