,ID,INCOME_BASE_TYPE,CREDIT_PURPOSE,INSURANCE_FLAG,DTI,SEX,FULL_AGE_CHILD_NUMBER,DEPENDANT_NUMBER,EDUCATION,EMPL_TYPE,EMPL_SIZE,BANKACCOUNT_FLAG,Period_at_work,age,EMPL_PROPERTY,EMPL_FORM,FAMILY_STATUS,max90days,max60days,max30days,max21days,max14days,avg_num_delay,if_zalog,num_AccountActive180,num_AccountActive90,num_AccountActive60,Active_to_All_prc,numAccountActiveAll,numAccountClosed,sum_of_paym_months,all_credits,Active_not_cc,own_closed,min_MnthAfterLoan,max_MnthAfterLoan,dlq_exist,thirty_in_a_year,sixty_in_a_year,ninety_in_a_year,thirty_vintage,sixty_vintage,ninety_vintage
55,1001116,Форма банка (без печати работодателя),Ремонт,1.0,0.08,мужской,0,0,высшее,менеджер высшего звена,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1001136,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.48,женский,1,0,высшее,менеджер среднего звена,>250,0.0,21.0,35.0,Финансы,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1001156,Поступление зарплаты на счет,Ремонт,0.0,0.36,женский,0,0,высшее,специалист,>250,0.0,100.0,30.0,Торговля,ЗАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,61.0,2.0,1.0,0.0,23.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1001176,Форма банка (без печати работодателя),Покупка автомобиля,1.0,0.44,мужской,0,0,высшее,менеджер по продажам,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1001196,Поступление зарплаты на счет,Ремонт,1.0,0.4,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер высшего звена,>250,0.0,193.0,36.0,Наука,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1001216,Поступление зарплаты на счет,Покупка недвижимости/ строительство,0.0,0.23,мужской,0,0,незаконченное высшее,рабочий,>250,0.0,60.0,25.0,Транспорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1001236,Форма банка (без печати работодателя),Ремонт,0.0,0.34,мужской,0,0,высшее,менеджер высшего звена,< 50,0.0,13.0,51.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1001256,Форма банка (без печати работодателя),Обучение,1.0,0.43,женский,2,0,второе высшее,менеджер по продажам,< 50,0.0,12.0,41.0,Туризм,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1001276,Поступление зарплаты на счет,Ремонт,1.0,0.49,мужской,0,0,среднее,рабочий,>250,1.0,9.0,28.0,Другое,ООО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.1428571429,0.0,2.0,0.0,0.0,0.6666666667,4.0,2.0,48.0,6.0,2.0,1.0,4.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1001296,Поступление зарплаты на счет,Покупка автомобиля,0.0,0.17,мужской,1,0,высшее,специалист,>250,1.0,99.0,30.0,Торговля,ЗАО,холост / не замужем,0.0,0.0,0.0,0.0,0.0,0.1458333333,1.0,0.0,0.0,0.0,0.125,2.0,6.0,41.0,8.0,1.0,1.0,8.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1001316,2НДФЛ,Покупка недвижимости/ строительство,0.0,0.34,мужской,0,0,высшее,специалист,< 50,1.0,44.0,28.0,Финансы,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1001336,Поступление зарплаты на счет,Ремонт,0.0,0.12,мужской,0,0,высшее,менеджер среднего звена,>250,0.0,28.0,30.0,Информационные технологии,ООО,женат / замужем,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,2.0,1.0,0.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1001356,Поступление зарплаты на счет,Покупка автомобиля,0.0,0.55,женский,0,0,среднее-специальное,специалист,>250,0.0,93.0,53.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1001376,Поступление зарплаты на счет,Ремонт,1.0,0.38,женский,1,0,среднее,вспомогательный персонал,>250,0.0,107.0,33.0,Торговля,ООО,холост / не замужем,3.0,2.0,1.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,3.0,0.0,0.0,13.0,110.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
69,1001396,Форма банка (без печати работодателя),Ремонт,0.0,0.5,женский,0,0,высшее,менеджер по продажам,>100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1001416,2НДФЛ,Ремонт,0.0,0.19,мужской,0,0,высшее,менеджер среднего звена,>250,0.0,49.0,34.0,Торговля,ОАО,холост / не замужем,3.0,3.0,3.0,3.0,3.0,0.0175438596,0.0,0.0,0.0,0.0,0.6666666667,2.0,1.0,56.0,3.0,0.0,0.0,72.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1001436,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.4,женский,0,0,высшее,менеджер высшего звена,< 50,0.0,203.0,48.0,Торговля,ООО,женат / замужем,2.0,1.0,0.0,0.0,0.0,0.0721649485,0.0,0.0,0.0,0.0,1.0,6.0,0.0,90.0,6.0,3.0,0.0,18.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1001456,Поступление зарплаты на счет,Ремонт,1.0,0.46,женский,0,0,высшее,специалист,>250,0.0,69.0,27.0,Финансы,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1001476,Форма банка (без печати работодателя),Ремонт,1.0,0.55,женский,0,0,среднее-специальное,менеджер среднего звена,< 50,0.0,200.0,56.0,Строительство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1001496,Поступление зарплаты на счет,Другое,1.0,0.49,мужской,0,0,среднее,рабочий,>250,0.0,6.0,26.0,Строительство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1001516,Поступление зарплаты на счет,Покупка мебели,1.0,0.55,мужской,1,0,среднее,вспомогательный персонал,>250,0.0,349.0,53.0,Другое,ОАО,женат / замужем,2.0,2.0,0.0,0.0,0.0,0.037037037,1.0,2.0,2.0,2.0,0.1428571429,2.0,12.0,104.0,14.0,1.0,2.0,0.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1001536,Форма банка (без печати работодателя),Ремонт,1.0,0.4,женский,0,0,высшее,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1001556,2НДФЛ,Ремонт,0.0,0.51,женский,1,0,высшее,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1001576,2НДФЛ,Ремонт,1.0,0.43,мужской,0,0,высшее,вспомогательный персонал,>250,3.0,89.0,42.0,Торговля,ООО,женат / замужем,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,2.0,0.0,0.0,44.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1001596,Форма банка (без печати работодателя),Другое,0.0,0.37,мужской,2,0,высшее,специалист,< 50,0.0,230.0,40.0,Наука,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1001616,Форма банка (без печати работодателя),Покупка недвижимости/ строительство,1.0,0.22,мужской,0,0,высшее,менеджер среднего звена,>=50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1001636,2НДФЛ,Покупка недвижимости/ строительство,1.0,0.31,мужской,0,0,среднее,менеджер среднего звена,>250,0.0,430.0,56.0,Другое,ОАО,холост / не замужем,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,3.0,1.0,1.0,54.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1001656,Свободная форма с печатью работодателя,Ремонт,0.0,0.57,мужской,0,0,высшее,менеджер среднего звена,< 50,1.0,85.0,32.0,Другое,ООО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,1.0,114.0,4.0,1.0,1.0,16.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1001676,Форма банка (без печати работодателя),Ремонт,1.0,0.27,женский,1,0,высшее,менеджер среднего звена,< 50,0.0,51.0,35.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1001696,Форма банка (без печати работодателя),Ремонт,0.0,0.48,мужской,0,0,*n.a.*,специалист,>250,0.0,41.0,29.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1001716,2НДФЛ,Ремонт,1.0,0.54,женский,0,0,Высшее/Второе высшее/Ученая степень,менеджер среднего звена,>250,0.0,78.0,34.0,Торговля,ООО,женат / замужем,2.0,1.0,1.0,1.0,1.0,0.0333333333,1.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,4.0,0.0,0.0,12.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1001736,Поступление зарплаты на счет,Покупка недвижимости/ строительство,1.0,0.27,мужской,2,0,высшее,вспомогательный персонал,>250,0.0,80.0,35.0,Производство,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1001756,Форма банка (без печати работодателя),Обучение,1.0,0.13,мужской,0,0,*n.a.*,специалист,>250,0.0,10.0,29.0,Финансы,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1001776,Форма банка (без печати работодателя),Ремонт,0.0,0.31,мужской,1,0,Высшее/Второе высшее/Ученая степень,специалист,< 50,0.0,87.0,47.0,Информационные технологии,ЗАО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.0491803279,0.0,0.0,0.0,0.0,0.6666666667,2.0,1.0,116.0,3.0,0.0,1.0,25.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1001796,2НДФЛ,Ремонт,1.0,0.49,мужской,1,0,среднее-специальное,рабочий,>250,1.0,123.0,36.0,Другое,ОАО,женат / замужем,0.0,0.0,0.0,0.0,0.0,0.2368421053,0.0,0.0,0.0,0.0,0.2857142857,2.0,5.0,87.0,7.0,1.0,1.0,10.0,107.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
90,1001816,Поступление зарплаты на счет,Ремонт,1.0,0.2,женский,2,0,среднее-специальное,вспомогательный персонал,>250,0.0,12.0,33.0,Торговля,ООО,холост / не замужем,2.0,2.0,2.0,2.0,2.0,0.0380952381,0.0,0.0,0.0,0.0,0.2,1.0,4.0,101.0,5.0,0.0,0.0,4.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1001836,Поступление зарплаты на счет,Ремонт,0.0,0.33,мужской,1,0,высшее,менеджер по продажам,>250,0.0,33.0,33.0,Транспорт,,,,,,,,,,,,,,,,,,,,,,,,,,,,
